document_slug,lab,release_date,release_confidence,word_count,n_benchmarks,register,first_mention_catastrophic,first_mention_cot_unfaithfulness,first_mention_cannot_rule_out,data_provenance
openai_gpt4_system_card,openai,2023-03-14,high,27859,3,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_claude2_card,anthropic,2023-07-11,high,5889,9,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama2_card,meta,2023-07-18,high,956,10,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_7b_model_card,mistral,2023-09-27,high,745,0,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_report,google,2023-12-06,high,32283,23,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llamaguard_card,meta,2023-12-07,high,,0,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_1_5_report,google,2024-02-15,high,64551,9,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_model_card,anthropic,2024-03-04,high,14089,18,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_mixtral_model_card,mistral,2024-04-17,high,810,0,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama3_model_card,meta,2024-04-18,high,1191,0,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_codestral_blog,mistral,2024-05-29,high,1235,1,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_35_addendum,anthropic,2024-06-20,high,2948,18,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama3_paper,meta,2024-07-23,high,53027,15,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama31_card,meta,2024-07-23,high,3304,4,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_large_2_blog,mistral,2024-07-24,high,979,1,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt4o_system_card,openai,2024-08-08,high,11624,15,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama32_card,meta,2024-09-25,high,4158,20,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llamaguard3_card,meta,2024-09-25,high,,0,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_35h_addendum,anthropic,2024-10-22,high,5793,27,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_o1_system_card,openai,2024-12-05,high,17410,14,threshold,yes,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
