lab,category,category_label,pct_mentioning,n_cards_mentioning,n_total_lab_cards,confidence
anthropic,hallucination,Hallucination,76.9,10,13,real (regex on raw card text)
openai,hallucination,Hallucination,75.0,9,12,real (regex on raw card text)
google,hallucination,Hallucination,77.8,7,9,real (regex on raw card text)
meta,hallucination,Hallucination,11.1,1,9,real (regex on raw card text)
mistral,hallucination,Hallucination,16.7,1,6,real (regex on raw card text)
xai,hallucination,Hallucination,0.0,0,3,real (regex on raw card text)
anthropic,bias_fairness,Bias / fairness,84.6,11,13,real (regex on raw card text)
openai,bias_fairness,Bias / fairness,75.0,9,12,real (regex on raw card text)
google,bias_fairness,Bias / fairness,44.4,4,9,real (regex on raw card text)
meta,bias_fairness,Bias / fairness,55.6,5,9,real (regex on raw card text)
mistral,bias_fairness,Bias / fairness,0.0,0,6,real (regex on raw card text)
xai,bias_fairness,Bias / fairness,66.7,2,3,real (regex on raw card text)
anthropic,cyber,Cyber,92.3,12,13,real (regex on raw card text)
openai,cyber,Cyber,100.0,12,12,real (regex on raw card text)
google,cyber,Cyber,77.8,7,9,real (regex on raw card text)
meta,cyber,Cyber,66.7,6,9,real (regex on raw card text)
mistral,cyber,Cyber,16.7,1,6,real (regex on raw card text)
xai,cyber,Cyber,100.0,3,3,real (regex on raw card text)
anthropic,cbrn_weapons,CBRN / weapons,92.3,12,13,real (regex on raw card text)
openai,cbrn_weapons,CBRN / weapons,83.3,10,12,real (regex on raw card text)
google,cbrn_weapons,CBRN / weapons,66.7,6,9,real (regex on raw card text)
meta,cbrn_weapons,CBRN / weapons,77.8,7,9,real (regex on raw card text)
mistral,cbrn_weapons,CBRN / weapons,0.0,0,6,real (regex on raw card text)
xai,cbrn_weapons,CBRN / weapons,100.0,3,3,real (regex on raw card text)
anthropic,child_safety,Child safety,92.3,12,13,real (regex on raw card text)
openai,child_safety,Child safety,100.0,12,12,real (regex on raw card text)
google,child_safety,Child safety,88.9,8,9,real (regex on raw card text)
meta,child_safety,Child safety,66.7,6,9,real (regex on raw card text)
mistral,child_safety,Child safety,0.0,0,6,real (regex on raw card text)
xai,child_safety,Child safety,100.0,3,3,real (regex on raw card text)
anthropic,mental_health,Mental health,61.5,8,13,real (regex on raw card text)
openai,mental_health,Mental health,100.0,12,12,real (regex on raw card text)
google,mental_health,Mental health,66.7,6,9,real (regex on raw card text)
meta,mental_health,Mental health,33.3,3,9,real (regex on raw card text)
mistral,mental_health,Mental health,0.0,0,6,real (regex on raw card text)
xai,mental_health,Mental health,100.0,3,3,real (regex on raw card text)
anthropic,agentic_autonomy,Agentic autonomy,100.0,13,13,real (regex on raw card text)
openai,agentic_autonomy,Agentic autonomy,91.7,11,12,real (regex on raw card text)
google,agentic_autonomy,Agentic autonomy,100.0,9,9,real (regex on raw card text)
meta,agentic_autonomy,Agentic autonomy,66.7,6,9,real (regex on raw card text)
mistral,agentic_autonomy,Agentic autonomy,100.0,6,6,real (regex on raw card text)
xai,agentic_autonomy,Agentic autonomy,100.0,3,3,real (regex on raw card text)
anthropic,deception,Deception / scheming,76.9,10,13,real (regex on raw card text)
openai,deception,Deception / scheming,91.7,11,12,real (regex on raw card text)
google,deception,Deception / scheming,33.3,3,9,real (regex on raw card text)
meta,deception,Deception / scheming,0.0,0,9,real (regex on raw card text)
mistral,deception,Deception / scheming,0.0,0,6,real (regex on raw card text)
xai,deception,Deception / scheming,100.0,3,3,real (regex on raw card text)
anthropic,reward_hacking,Reward hacking,69.2,9,13,real (regex on raw card text)
openai,reward_hacking,Reward hacking,33.3,4,12,real (regex on raw card text)
google,reward_hacking,Reward hacking,22.2,2,9,real (regex on raw card text)
meta,reward_hacking,Reward hacking,0.0,0,9,real (regex on raw card text)
mistral,reward_hacking,Reward hacking,0.0,0,6,real (regex on raw card text)
xai,reward_hacking,Reward hacking,0.0,0,3,real (regex on raw card text)
anthropic,cot_faithfulness,CoT faithfulness,15.4,2,13,real (regex on raw card text)
openai,cot_faithfulness,CoT faithfulness,0.0,0,12,real (regex on raw card text)
google,cot_faithfulness,CoT faithfulness,0.0,0,9,real (regex on raw card text)
meta,cot_faithfulness,CoT faithfulness,0.0,0,9,real (regex on raw card text)
mistral,cot_faithfulness,CoT faithfulness,0.0,0,6,real (regex on raw card text)
xai,cot_faithfulness,CoT faithfulness,0.0,0,3,real (regex on raw card text)
